Senats-id,lblKitaname,Telefon,lblTelefon
710,Kita Sponholzstraße,030 81006825,03081 00 68 25
711,Kita der Kath. Kirchengem. St. Marien,030 4956095,304956095
714,Kita Haus Salem/Kitas Süd-West,030 290276080,30290276080
717,EKT Zappzarapp,030 7844463,307844463
718,Kita Moppi/Kitas SüdOst,030 6571430,030657 14 30
720,Kita Krümelkiste,030 9430977,309430977
722,Kita Murmelstein,030 47471987,3047471987
723,EKT - Karamell,030 3425046,030342 50 46
724,Kita der Ev. Kreuz-Gemeinde Schmargendorf,030 8255434,030825 54 34
725,"Kita der GFJ - gem.Gesellschaft 
für Familien- und Jugendhilfe",030 2824496,302824496
726,AWO Kita Schmetterling,030 39741995,030397 41 995
727,EKT Flocke,030 3922126,303922126
728,EKT - Pädagogisches Zentrum Bissingzeile,030 2614592,261 45 92
730,Kindertagesstätte der Caritas St. Robert,030 4551130,304551130
731,EKT Tausendfüßler,030 4562624,304562624
732,Groni-Weddinger Kinder- u.Jugendzentrum - Malplaquet 37,030 80929277,3080929277
733,"EKT - ""Eisbär""",030 4539038,030453 90 38
734,Kita der Ev. Kirchengem. Bartholomäus,030 2478923,030247 89 23
735,Ev. Kita Samariter,030 4222040,422 20 40
736,Kita Colbestr.9 - 13,030 27571453,3027571453
737,EKT Minifee,030 61620677,0306162 0677
738,EKT Räuberhöhle,030 6915016,306915016
739,EKT - Neumond,030 6917239,691 72 39
740,Kita Oranienstraße,030 6186319,030618 63 19
741,Ev. Kita Martin-Albertz-Haus,030 3344344,030334 43 44
742,EKG - Kladower Damm 369,030 36804238,03036 80 42 38
743,EKG - Schuckertdamm 336-338,030 3812455,030381 24 55
745,EKT - Saatwinkler Küken,030 3822615,382 26 15
746,EKT Narrenfreiheit,030 8726653,308726653
747,Waldorf-Kindergarten Mansfelder Straße,030 8614440,861 44 40
750,Kita Niemöllerhaus,030 83227632,3083227632
752,Kindertagesstätte Viktoria-Luise-Platz,030 2118686,030211 86 86
753,EKT - Brei nach Neun,030 7828319,782 83 19
754,EKT Kinderhaus Friedenau,030 85079591,03085 07 95 91
755,EKT - Steglitzer Kinderkreisel,030 8334509,833 45 09
756,Kita der Ev. Kirchengem. Mariendorf -Ost,030 7036925,703 69 25
757,Kinderladen Pimpanella,030 70189216,701 89 216
760,Kita Marienfelder Chaussee,030 74200824,0307420 0824
761,Kita Hand in Hand - El Ele,030 6214002,621 40 02
762,EKT - Naseweis,030 6249220,306249220
763,Kita Reuterstr.,030 62985210,3062985210
764,Kita Berliner Spatzen,030 6267578,030626 75 78
765,Kita Weichselstraße,030 6243502,306243502
766,Kita der Ev. Kirchengem. Alt-Lichtenberg,030 55487932,0305548 7932
767,Kita Das tapfere Schneiderlein,030 5099245,305099245
